PCIS Permit #,Status,Status Date,Permit Type,Permit Sub-Type,Issue Date,Address Start,Address End,Street Direction,Street Name,Street Suffix,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
14010-20000-01547,Issued,09/15/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/15/2014,12400,12400,N,MASON,AVE,$412000.00,3101,1,2,[T]RE-1,3536,12,"(34.29257, -118.58291)"
16010-20000-00281,Issued,04/22/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,04/22/2016,15160,15160,W,POLK,ST,$22000.00,0,,1,R1-1,400,7,"(34.29593, -118.46261)"
15014-30000-00100,Issued,05/02/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,05/02/2016,8381,8381,W,HOLLYWOOD,BLVD,$750000.00,3901,0,2,R1-1,2179,4,"(34.09858, -118.37217)"
15014-20000-01646,Issued,04/29/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/29/2016,9530,9530,N,LARAMIE,AVE,$90000.00,2319,,1,RS-1,883,12,"(34.24365, -118.57343)"
14010-20000-01549,Issued,09/15/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/15/2014,12400,12400,N,MASON,AVE,$436000.00,3362,1,2,[T]RE-1,3803,12,"(34.29257, -118.58291)"
14010-20000-01548,Issued,09/15/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/15/2014,12400,12400,N,MASON,AVE,$430000.00,3217,1,2,[T]RE-1,3669,12,"(34.29257, -118.58291)"
14014-20000-04122,Issued,11/12/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/12/2014,12400,12400,N,MASON,AVE,$6000.00,444,,0,[T]RE-1,444,12,"(34.29257, -118.58291)"
15014-20001-02172,Issued,03/11/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/11/2016,2478,2478,N,LAKE VIEW,AVE,$501.00,28,0,0,R2-1VL,28,13,"(34.10205, -118.25422)"
14014-10000-05114,Issued,04/09/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/09/2015,639,639,E,SANTA CLARA,AVE,$376030.00,4131,0,2,RD1.5-1,3546,11,"(33.99314, -118.46539)"
15010-10000-02436,Issued,01/20/2016 12:00:00 AM,Bldg-New,Commercial,01/20/2016,7007,7007,W,ROMAINE,ST,$16100000.00,40021,,6,MR1-1,152961,4,
15010-30000-04021,Issued,03/22/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/22/2016,771,771,W,OLIVER,ST,$65000.00,,0,1,R1-1XL,576,15,"(33.7467, -118.2938)"
14014-20000-04528,Issued,03/31/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/31/2016,1966,1966,N,VESTAL,AVE,$50000.00,916,,0,RD2-1VL,916,13,"(34.08841, -118.25231)"
15014-10000-05138,Issued,02/17/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/17/2016,2258,2258,N,FINK,ST,$60000.00,2021,0,2,R1-1,839.8,4,"(34.11203, -118.33025)"
13010-20000-03430,Issued,11/19/2013 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,11/19/2013,419,419,E,SUNSET,AVE,$10000.00,72,0,1,RD1.5-1,72,11,"(33.99636, -118.47305)"
13010-20000-02413,Issued,02/19/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,02/19/2016,8340,8340,W,BIG CANYON,DR,$349000.00,2745,1,2,(T)(Q)RS-1-RFA,3207,7,"(34.27168, -118.31489)"
14014-20000-01523,Issued,05/06/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,05/06/2014,9273,9273,N,CANTER,LANE,$9100.00,0,0,0,A1-1-K,570,7,"(34.23759, -118.35228)"
16014-20000-00356,Issued,02/01/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/01/2016,10700,10700,W,KURT,ST,$4300.00,350,,1,RE11-1,350,7,"(34.27887, -118.36407)"
15014-10000-00614,Issued,07/30/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/30/2015,7607,7607,S,FLIGHT,AVE,$217900.00,3287,0,2,R1-1,2006,11,"(33.96932, -118.38189)"
15016-20000-16557,Issued,09/21/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/21/2015,8661,8661,N,RINCON,AVE,$20000.00,333,,0,RS-1,333,6,"(34.22709, -118.39732)"
13014-30000-02263,Issued,07/10/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/10/2013,231,231,N,GLENROY,PL,$60000.00,3811,,0,RE15-1-H,376,5,"(34.0769, -118.46074)"
15014-20000-00586,Issued,05/13/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,05/13/2015,542,542,N,FULLER,AVE,$250000.00,3373,,2,R1-1,1837,5,"(34.0815, -118.34969)"
15014-20000-02879,Issued,07/06/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/06/2015,3747,3747,S,ROSEWOOD,AVE,$8500.00,327.76,,1,R1-1VLD,11.68,11,"(34.0003, -118.4446)"
14010-10000-02999,Issued,03/02/2016 12:00:00 AM,Bldg-New,Apartment,03/02/2016,8820,8820,S,BELFORD,AVE,$13000000.00,69751,61,4,R3-1,128230,11,"(33.95637, -118.3838)"
15014-10000-00988,Issued,08/26/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/26/2015,804,804,N,NORMANDIE,AVE,$22000.00,1919,,0,R3-1XL,225,13,"(34.0851, -118.30031)"
