PCIS Permit #,Permit Sub-Type,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
14010-20000-01547,1 or 2 Family Dwelling,9/15/2014,"$412,000.00 ",3101,1,2,[T]RE-1,3536,12,"(34.29257, -118.58291)"
16010-20000-00281,1 or 2 Family Dwelling,4/22/2016,"$22,000.00 ",0,,1,R1-1,400,7,"(34.29593, -118.46261)"
15014-30000-00100,1 or 2 Family Dwelling,5/2/2016,"$750,000.00 ",3901,0,2,R1-1,2179,4,"(34.09858, -118.37217)"
15014-20000-01646,1 or 2 Family Dwelling,4/29/2016,"$90,000.00 ",2319,,1,RS-1,883,12,"(34.24365, -118.57343)"
14010-20000-01549,1 or 2 Family Dwelling,9/15/2014,"$436,000.00 ",3362,1,2,[T]RE-1,3803,12,"(34.29257, -118.58291)"
14010-20000-01548,1 or 2 Family Dwelling,9/15/2014,"$430,000.00 ",3217,1,2,[T]RE-1,3669,12,"(34.29257, -118.58291)"
14014-20000-04122,1 or 2 Family Dwelling,11/12/2014,"$6,000.00 ",444,,0,[T]RE-1,444,12,"(34.29257, -118.58291)"
15014-20001-02172,1 or 2 Family Dwelling,3/11/2016,$501.00 ,28,0,0,R2-1VL,28,13,"(34.10205, -118.25422)"
14014-10000-05114,1 or 2 Family Dwelling,4/9/2015,"$376,030.00 ",4131,0,2,RD1.5-1,3546,11,"(33.99314, -118.46539)"
15010-10000-02436,Commercial,1/20/2016,"$16,100,000.00 ",40021,,6,MR1-1,152961,4,
15010-30000-04021,1 or 2 Family Dwelling,3/22/2016,"$65,000.00 ",,0,1,R1-1XL,576,15,"(33.7467, -118.2938)"
14014-20000-04528,1 or 2 Family Dwelling,3/31/2016,"$50,000.00 ",916,,0,RD2-1VL,916,13,"(34.08841, -118.25231)"
15014-10000-05138,1 or 2 Family Dwelling,2/17/2016,"$60,000.00 ",2021,0,2,R1-1,839.8,4,"(34.11203, -118.33025)"
13010-20000-03430,1 or 2 Family Dwelling,11/19/2013,"$10,000.00 ",72,0,1,RD1.5-1,72,11,"(33.99636, -118.47305)"
13010-20000-02413,1 or 2 Family Dwelling,2/19/2016,"$349,000.00 ",2745,1,2,(T)(Q)RS-1-RFA,3207,7,"(34.27168, -118.31489)"
14014-20000-01523,1 or 2 Family Dwelling,5/6/2014,"$9,100.00 ",0,0,0,A1-1-K,570,7,"(34.23759, -118.35228)"
