PCIS Permit #,Permit Sub-Type,Issue Date,Valuation
14010-20000-01547,1 or 2 Family Dwelling,9/15/2014,"$412,000.00 "
16010-20000-00281,1 or 2 Family Dwelling,4/22/2016,"$22,000.00 "
15014-30000-00100,1 or 2 Family Dwelling,5/2/2016,"$750,000.00 "
15014-20000-01646,1 or 2 Family Dwelling,4/29/2016,"$90,000.00 "
14010-20000-01549,1 or 2 Family Dwelling,9/15/2014,"$436,000.00 "
14010-20000-01548,1 or 2 Family Dwelling,9/15/2014,"$430,000.00 "
14014-20000-04122,1 or 2 Family Dwelling,11/12/2014,"$6,000.00 "
15014-20001-02172,1 or 2 Family Dwelling,3/11/2016,$501.00 
14014-10000-05114,1 or 2 Family Dwelling,4/9/2015,"$376,030.00 "
15010-10000-02436,Commercial,1/20/2016,"$16,100,000.00 "
15010-30000-04021,1 or 2 Family Dwelling,3/22/2016,"$65,000.00 "
14014-20000-04528,1 or 2 Family Dwelling,3/31/2016,"$50,000.00 "
15014-10000-05138,1 or 2 Family Dwelling,2/17/2016,"$60,000.00 "
13010-20000-03430,1 or 2 Family Dwelling,11/19/2013,"$10,000.00 "
13010-20000-02413,1 or 2 Family Dwelling,2/19/2016,"$349,000.00 "
14014-20000-01523,1 or 2 Family Dwelling,5/6/2014,"$9,100.00 "
16014-20000-00356,1 or 2 Family Dwelling,2/1/2016,"$4,300.00 "
15014-10000-00614,1 or 2 Family Dwelling,7/30/2015,"$217,900.00 "
15016-20000-16557,1 or 2 Family Dwelling,9/21/2015,"$20,000.00 "
13014-30000-02263,1 or 2 Family Dwelling,7/10/2013,"$60,000.00 "
15014-20000-00586,1 or 2 Family Dwelling,5/13/2015,"$250,000.00 "
15014-20000-02879,1 or 2 Family Dwelling,7/6/2015,"$8,500.00 "
14010-10000-02999,Apartment,3/2/2016,"$13,000,000.00 "
15014-10000-00988,1 or 2 Family Dwelling,8/26/2015,"$22,000.00 "
15014-20000-05388,1 or 2 Family Dwelling,12/10/2015,"$35,000.00 "
14014-20000-02756,1 or 2 Family Dwelling,6/26/2014,"$30,000.00 "
14010-30000-00174,1 or 2 Family Dwelling,3/25/2014,"$400,000.00 "
15016-20000-20642,1 or 2 Family Dwelling,10/7/2015,"$100,000.00 "
15010-20000-04277,1 or 2 Family Dwelling,3/7/2016,"$640,000.00 "
16016-20000-02837,1 or 2 Family Dwelling,2/9/2016,$900.00 
15014-20000-04779,Commercial,4/14/2016,"$14,400.00 "
